date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,estimated_source_type
20210213,07:32:16,23.75,86.37,19,9,Coal
20210213,07:33:27,26.82,80.88,8,3,Landfill/Urban
20210213,07:34:19,28.81,77.35,38,24,Landfill/Urban
20210213,09:13:55,24.96,66.92,142,48,Landfill/Urban
20210213,09:17:39,37.65,61.77,47,20,Gas
20210213,09:17:42,37.64,60.34,77,29,Gas
20210213,09:18:26,40.09,60.93,17,6,Gas
20210213,12:37:57,27.92,9.96,10,3,Gas
20210213,12:38:29,29.47,7.04,11,4,Gas
20210214,05:35:10,35.62,112.29,116,54,Coal
20210214,07:13:12,23.62,90.73,91,42,Landfill/Urban
20210214,07:13:16,23.77,90.47,71,32,Landfill/Urban
20210214,07:13:31,23.72,86.36,25,17,Coal
20210214,07:14:08,25.64,85.52,16,6,Landfill/Urban
20210214,08:54:19,22.98,72.5,44,35,Oil
20210214,08:54:59,24.95,67.14,156,50,Landfill/Urban
20210214,08:59:23,40.0,61.01,14,5,Oil
20210214,10:38:37,31.36,34.76,10,7,Landfill/Urban
20210214,10:39:24,35.17,40.55,34,11,Oil
20210214,10:39:38,36.37,42.84,9,4,Landfill/Urban
20210215,06:53:42,21.64,94.55,8,6,Landfill/Urban
20210215,06:54:29,22.99,90.25,39,25,Landfill/Urban
20210215,06:54:38,23.91,90.39,97,72,Landfill/Urban
20210215,08:34:20,19.21,72.99,47,15,Gas
20210215,08:35:12,22.29,73.17,22,15,Oil
20210215,08:35:12,22.3,72.84,17,10,Oil
20210215,08:36:16,24.9,67.11,90,44,Landfill/Urban
20210215,08:36:56,28.95,76.93,43,28,Landfill/Urban
20210215,08:38:20,33.4,72.74,33,16,Landfill/Urban
20210215,08:38:29,34.01,71.59,20,7,Landfill/Urban
20210215,08:39:54,37.99,63.41,26,15,Oil
20210215,10:17:12,24.16,48.55,7,4,Gas
20210215,10:24:25,49.42,42.11,41,15,Gas
20210215,20:25:08,20.6,-103.01,23,8,Landfill/Urban
20210216,08:16:34,22.25,73.04,27,14,Oil
20210216,08:18:00,28.8,77.26,35,25,Landfill/Urban
20210216,08:17:44,28.15,79.23,11,7,Landfill/Urban
20210216,08:18:29,30.04,73.12,26,17,Landfill/Urban
20210216,08:21:35,38.09,61.16,32,32,Gas
20210216,08:21:28,39.24,65.32,10,7,Gas
20210216,08:21:29,37.41,60.89,64,38,Oil
20210216,08:21:37,38.12,60.56,28,16,Gas
20210216,08:21:53,40.22,63.47,11,4,Gas
20210216,08:21:44,41.06,68.77,12,4,Gas
20210216,10:02:15,38.83,54.68,27,14,Oil
20210216,20:06:21,20.57,-103.06,52,18,Landfill/Urban
20210217,07:56:13,17.73,78.36,23,13,Landfill/Urban
20210217,07:57:47,22.3,73.21,8,5,Oil
20210217,07:58:01,22.99,72.61,21,13,Oil
20210217,07:58:19,26.5,80.09,20,12,Landfill/Urban
20210217,07:58:28,26.92,80.86,7,3,Landfill/Urban
20210217,07:59:05,28.6,77.14,59,34,Landfill/Urban
20210217,08:00:40,33.24,72.6,9,4,Oil
20210217,08:00:57,33.97,71.51,19,7,Landfill/Urban
20210217,13:03:32,29.08,6.22,24,8,Gas
20210217,13:04:19,32.11,5.85,10,5,Gas
20210217,19:46:27,18.14,-93.92,30,19,Gas
20210217,19:47:41,20.62,-103.09,27,10,Landfill/Urban
20210218,06:01:24,39.4,107.2,54,20,Coal
20210218,07:38:10,23.1,90.29,60,25,Landfill/Urban
20210218,07:38:26,23.5,90.33,91,55,Landfill/Urban
20210218,07:39:40,26.58,80.17,6,3,Landfill/Urban
20210218,07:40:30,28.77,77.04,57,40,Landfill/Urban
20210218,09:20:17,25.05,67.09,71,37,Landfill/Urban
20210218,12:45:28,31.84,5.79,19,6,Gas
20210219,05:38:01,23.26,113.46,25,14,Landfill/Urban
