"","country","latitude","longitude","primary_fuel"
"560","AUS",-27.8141,120.699,"Gas"
"563","AUS",-28.8811,121.3213,"Gas"
"565","AUS",-32.3713,150.9776,"Coal"
"569","AUS",-38.2236,147.1657,"Gas"
"570","AUS",-35.1097,138.491,"Oil"
"573","AUS",-38.2536,146.5746,"Coal"
"574","AUS",-38.2564,146.5864,"Coal"
"578","AUS",-21.1446,149.1591,"Gas"
"583","AUS",-21.1649,119.7419,"Oil"
"586","AUS",-16.4335,136.0935,"Gas"
"589","AUS",-26.5952,118.483,"Oil"
"590","AUS",-37.8086,144.9685,"Gas"
"591","AUS",-31.5423,118.227,"Gas"
"592","AUS",-20.7776,139.4906,"Gas"
"593","AUS",-27.9615,151.2789,"Coal"
"594","AUS",-33.9031,138.7383,"Gas"
"597","AUS",-21.9851,148.0246,"Gas"
"598","AUS",-21.8967,147.9507,"Gas"
"601","AUS",-38.0632,142.6675,"Gas"
"603","AUS",-27.2146,120.548,"Gas"
"604","AUS",-28.0871,117.8327,"Gas"
"606","AUS",-19.338,146.8512,"Oil"
"610","AUS",-33.3589,150.0313,"Coal"
"613","AUS",-33.446,116.3062,"Coal"
"614","AUS",-33.4464,116.3074,"Coal"
"617","AUS",-28.8893,115.1177,"Gas"
"618","AUS",-24.8911,113.7095,"Gas"
"619","AUS",-33.2117,151.5418,"Coal"
"623","AUS",-28.9238,121.3293,"Gas"
"627","AUS",-31.6712,115.8021,"Gas"
"628","AUS",-23.3443,119.7086,"Gas"
"629","AUS",-37.8415,144.8942,"Gas"
"630","AUS",-12.1889,136.6872,"Oil"
"632","AUS",-33.811,151.1966,"Oil"
"635","AUS",-32.1963,121.7943,"Oil"
"637","AUS",-33.8398,151.2069,"Gas"
"642","AUS",-27.4183,151.6797,"Gas"
"647","AUS",-22.9878,148.5817,"Gas"
"648","AUS",-21.6582,115.099,"Gas"
"650","AUS",-34.798,138.5079,"Gas"
"651","AUS",-23.8636,133.8255,"Gas"
"653","AUS",-23.2233,117.6133,"Gas"
"654","AUS",-23.2238,117.6137,"Gas"
"657","AUS",-34.765,138.5053,"Gas"
"661","AUS",-13.7856,131.8624,"Gas"
"662","AUS",-31.5568,115.8204,"Gas"
"663","AUS",-32.6473,115.9469,"Gas"
"666","AUS",-25.311,119.4508,"Gas"
"668","AUS",-20.4283,118.5498,"Gas"
"669","AUS",-20.3782,118.5384,"Gas"
"670","AUS",-34.7003,135.8044,"Oil"
"671","AUS",-35.1104,138.4915,"Oil"
"673","AUS",-34.7793,138.5224,"Gas"
"675","AUS",-33.61,120.36,"Oil"
"677","AUS",-32.5802,151.0719,"Coal"
"681","AUS",-33.9534,151.0137,"Oil"
"687","AUS",-26.5772,148.8402,"Gas"
"688","AUS",-23.7091,133.8912,"Gas"
"691","AUS",-22.4812,119.9472,"Oil"
"696","AUS",-17.3631,128.0331,"Oil"
"699","AUS",-33.85,150.9495,"Gas"
"702","AUS",-37.6646,140.4156,"Gas"
"703","AUS",-22.1581,117.9849,"Gas"
"704","AUS",-37.6318,144.9531,"Gas"
"708","AUS",-33.9748,151.1294,"Oil"
"709","AUS",-23.5097,150.3195,"Coal"
"718","AUS",-29.0927,122.4393,"Gas"
"721","AUS",-27.6554,152.8179,"Gas"
"722","AUS",-37.8298,144.9444,"Gas"
"724","AUS",-34.2482,150.5808,"Gas"
"726","AUS",-34.5228,150.8081,"Gas"
"728","AUS",-41.1401,146.9036,"Gas"
"730","AUS",-26.7824,151.9153,"Coal"
"731","AUS",-26.7858,151.9172,"Oil"
"732","AUS",-26.7758,151.9146,"Coal"
"736","AUS",-21.7129,122.2091,"Gas"
"737","AUS",-19.6549,134.1753,"Gas"
"738","AUS",-32.9455,151.6119,"Gas"
"742","AUS",-15.6562,130.479,"Oil"
"744","AUS",-32.8217,151.7178,"Gas"
"746","AUS",-34.8068,138.5213,"Gas"
"747","AUS",-34.8052,138.5226,"Gas"
"748","AUS",-34.2207,150.7179,"Gas"
"749","AUS",-19.2011,146.6187,"Gas"
"760","AUS",-35.1794,147.2157,"Gas"
"763","AUS",-33.1607,151.5431,"Coal"
"764","AUS",-38.2536,146.5892,"Gas"
"768","AUS",-14.2602,129.5368,"Gas"
"769","AUS",-32.916,115.9186,"Gas"
"770","AUS",-32.9145,115.917,"Gas"
"772","AUS",-33.4028,150.0833,"Coal"
"773","AUS",-17.0259,128.2113,"Oil"
"775","AUS",-19.4434,133.8236,"Gas"
"780","AUS",-12.5771,130.9502,"Gas"
"782","AUS",-23.1546,118.7245,"Gas"
"783","AUS",-34.4515,150.8429,"Oil"
"784","AUS",-30.7806,121.4234,"Oil"
"787","AUS",-34.0513,150.8329,"Oil"
"792","AUS",-30.3634,149.6772,"Gas"
"796","AUS",-26.5922,120.2185,"Oil"
"797","AUS",-26.6316,120.2519,"Gas"
"798","AUS",-28.2933,118.5371,"Gas"
"804","AUS",-21.1739,118.6747,"Gas"
"810","AUS",-33.2355,116.0688,"Coal"
"811","AUS",-33.2365,116.0637,"Gas"
"814","AUS",-20.7437,139.4803,"Gas"
"815","AUS",-38.177,146.3428,"Coal"
"819","AUS",-23.8306,151.1519,"Gas"
"821","AUS",-25.2323,130.9912,"Gas"
"822","AUS",-20.762,116.742,"Gas"
"830","AUT",48.2,16.4633,"Gas"
"898","AUT",48.1815,16.4334,"Gas"
"907","AUT",48.0122,13.5895,"Gas"
"926","AZE",38.456,48.875,"Gas"
"927","AZE",40.78,46.9901,"Oil"
"928","AZE",40.3734,49.9192,"Gas"
"929","AZE",40.3734,49.9192,"Gas"
"931","AZE",39.8943,48.9173,"Gas"
"932","AZE",41.4635,48.806,"Gas"
"934","AZE",40.1794,49.47,"Gas"
"936","AZE",40.4995,50.2077,"Gas"
"937","AZE",40.6036,49.6332,"Gas"
"940","BHR",25.9714,50.6076,"Gas"
"941","BHR",26.2175,50.6595,"Gas"
"942","BHR",26.0945,50.6008,"Gas"
"944","BHR",26.1981,50.5919,"Oil"
"945","BHR",26.2223,50.6621,"Gas"
"946","BHR",26.1199,50.5889,"Gas"
"947","BHR",26.1833,50.6237,"Gas"
"948","BGD",24.6301,88.4006,"Oil"
"949","BGD",24.0426,91.0158,"Gas"
"950","BGD",24.1361,89.5933,"Gas"
"951","BGD",22.5713,91.6841,"Oil"
"952","BGD",22.6588,90.3373,"Gas"
"953","BGD",25.5502,88.9527,"Coal"
"954","BGD",24.0895,89.6176,"Oil"
"955","BGD",24.0487,89.0173,"Oil"
"956","BGD",22.4786,90.7101,"Gas"
"957","BGD",24.8408,89.3506,"Gas"
"958","BGD",23.6473,90.3473,"Oil"
"959","BGD",22.457,91.9784,"Gas"
"960","BGD",23.6183,89.7733,"Oil"
"961","BGD",24.6863,91.9189,"Gas"
"962","BGD",23.9186,90.6926,"Gas"
"963","BGD",23.9797,90.637,"Gas"
"965","BGD",23.9797,90.637,"Oil"
"966","BGD",22.4918,91.8051,"Oil"
"967","BGD",24.2639,91.379,"Gas"
"968","BGD",23.6839,90.5314,"Gas"
"969","BGD",24.9103,89.9607,"Oil"
"970","BGD",23.4289,91.17,"Gas"
"971","BGD",22.2972,91.8062,"Oil"
"973","BGD",23.6783,90.4295,"Oil"
"974","BGD",24.366,88.6763,"Oil"
"975","BGD",23.5699,90.4804,"Oil"
"976","BGD",22.8646,89.5357,"Gas"
"977","BGD",23.9904,90.3429,"Oil"
"978","BGD",23.59,90.5153,"Oil"
"979","BGD",23.6112,90.6007,"Gas"
"980","BGD",24.7611,90.4193,"Gas"
"981","BGD",23.9186,90.6926,"Oil"
"982","BGD",22.3602,91.7812,"Oil"
"983","BGD",23.8094,90.2433,"Oil"
"984","BGD",23.6584,90.4584,"Oil"
"985","BGD",22.2385,91.8129,"Oil"
"986","BGD",25.7233,89.2432,"Oil"
"987","BGD",24.7972,88.9839,"Oil"
"988","BGD",24.2532,91.3751,"Gas"
"989","BGD",23.6846,90.517,"Gas"
"990","BGD",22.3227,91.8651,"Oil"
"991","BGD",24.3884,89.7436,"Gas"
"992","BGD",23.6825,90.5252,"Oil"
"993","BGD",22.659,90.3364,"Gas"
"994","BGD",24.6358,91.6587,"Gas"
"995","BGD",23.44,91.1869,"Gas"
"996","BGD",24.2276,90.4201,"Gas"
"997","BGD",23.8901,90.0323,"Gas"
"998","BGD",23.755,90.5496,"Gas"
"999","BGD",24.9096,91.83,"Gas"
"1001","BGD",26.0383,88.4256,"Oil"
"1002","BGD",23.5461,90.7779,"Oil"
"1003","BGD",23.897,90.4123,"Gas"
"1004","BGD",24.3071,89.5512,"Gas"
"1005","BLR",52.4538,25.1926,"Gas"
"1008","BLR",53.1895,29.2055,"Gas"
"1013","BLR",52.4141,31.0031,"Gas"
"1014","BLR",52.4492,30.8167,"Gas"
"1015","BLR",53.6675,23.9272,"Gas"
"1016","BLR",53.9011,25.291,"Gas"
"1017","BLR",54.6803,29.1341,"Gas"
"1018","BLR",53.8799,27.6476,"Gas"
"1019","BLR",53.872,27.4022,"Gas"
"1020","BLR",53.612,27.954,"Gas"
"1021","BLR",53.8128,30.3421,"Gas"
"1022","BLR",51.9049,29.3136,"Gas"
"1023","BLR",55.5265,28.549,"Gas"
"1024","BLR",54.4809,30.3926,"Gas"
"1026","BLR",52.6274,29.7708,"Gas"
"1027","BLR",55.1689,30.1355,"Gas"
"1028","BLR",54.0941,28.3505,"Gas"
"1029","BEL",51.0902,3.4469,"Oil"
